track_id,cls,t,x,y,z,w,l,h,vx,vy,theta,conf
100,0,13.300000,-97.879500,205.645800,1.336600,1.740000,4.030000,1.410000,0.851200,-1.569200,-1.183650,0.900000
100,0,13.400000,-97.794200,205.488600,1.336000,1.740000,4.030000,1.410000,0.851100,-1.569500,-1.183650,0.900000
100,0,13.500000,-97.708900,205.331300,1.335500,1.740000,4.030000,1.410000,0.849400,-1.569900,-1.183650,0.900000
100,0,13.600000,-97.624000,205.174000,1.335000,1.740000,4.030000,1.410000,0.847500,-1.575100,-1.183650,0.900000
100,0,13.700000,-97.539600,205.016700,1.334500,1.740000,4.030000,1.410000,0.840400,-1.575100,-1.183650,0.900000
100,0,13.800000,-97.456100,204.859400,1.334000,1.740000,4.030000,1.410000,0.830400,-1.569600,-1.183650,0.900000
100,0,13.900000,-97.373200,204.702100,1.333500,1.740000,4.030000,1.410000,0.829100,-1.573500,-1.183650,0.900000
100,0,14.000000,-97.290500,204.545100,1.333000,1.740000,4.030000,1.410000,0.831200,-1.577800,-1.183650,0.900000
101,0,3.700000,-65.675700,120.163900,2.877800,1.922700,4.436900,1.579300,3.241700,-1.592900,0.013950,0.900000
101,0,3.800000,-65.350900,120.004300,2.900200,1.922700,4.436900,1.579300,3.254900,-1.601400,-0.018380,0.900000
101,0,3.900000,-65.025700,119.844000,2.922600,1.922700,4.436900,1.579300,3.260000,-1.612900,-0.050740,0.900000
101,0,4.000000,-64.699800,119.682100,2.945000,1.922700,4.436900,1.579300,3.255200,-1.629000,-0.083090,0.900000
101,0,4.100000,-64.373300,119.517600,2.967500,1.922700,4.436900,1.579300,3.272400,-1.666200,-0.115490,0.900000
101,0,4.200000,-64.046200,119.349300,2.990000,1.922700,4.436900,1.579300,3.276600,-1.709000,-0.147940,0.900000
101,0,4.300000,-63.718900,119.176200,3.012600,1.922700,4.436900,1.579300,3.264600,-1.758000,-0.180360,0.900000
101,0,4.400000,-63.392000,118.997000,3.035100,1.922700,4.436900,1.579300,3.267600,-1.831300,-0.212780,0.900000
